component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,backend,context_tokens,decode_tokens
qk_quantized_history,4096,32.0,555914.2321646214,135.72124808706576,4.093806426289538,0,0,fused,4096,128
rope_position,4096,32.0,913747.9661405087,223.08299954602262,6.728928815564635,0,0,fused,4096,128
selector_gain,32,0.25,43502.5919675827,1359.4559989869595,0.32035731458734096,4096,0,fused,4096,128
selector_score,32,0.25,2444.2880526185036,76.38400164432824,0.017999974741695745,4096,0,fused,4096,128
selector_topk,32,0.25,115690.49549102783,3615.3279840946198,0.8519560509498529,4096,0,fused,4096,128
selector_total,32,0.25,167520.25604248047,5235.008001327515,1.2336354441763824,4096,0,fused,4096,128
value_fp16_tail,12256,95.75,1301921.792216599,106.2273002787695,9.587478591345727,849920,0,fused,4096,128
attention_score_concat,4096,32.0,250771.46031334996,61.223501053063956,1.6754963907872786,33818624,0,reference,8192,128
attention_softmax,4096,32.0,192541.28255322576,47.00714906084613,1.2864391489860039,33818624,0,reference,8192,128
cache_append,4096,32.0,2724911.6546213627,665.2616344290436,18.206137320520416,0,0,reference,8192,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3446763520,reference,8192,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,2322432,reference,8192,128
cache_mutation,16544,129.25,529279.3963029981,31.99222656570346,3.5363103804381897,0,3446763520,reference,8192,128
centroid_update,32,0.25,5404.671981930733,168.8959994353354,0.036110602011085374,4096,0,reference,8192,128
decode_decoder_model_forward,128,1.0,19016945.693969727,148569.8882341385,127.05921094142833,0,0,reference,8192,128
decode_lm_head,128,1.0,152651.77869796753,1192.5920210778713,1.0199226974876259,0,0,reference,8192,128
importance_update,4096,32.0,571520.6022411585,139.53139703153283,3.8185394187962767,33818624,0,reference,8192,128
mixed_v_reference_attention,4096,32.0,5252295.704603195,1282.2987560066395,35.09252003961671,32968704,0,reference,8192,128
output_projection,4096,32.0,399755.27281314135,97.59650215164584,2.670912056578018,0,0,reference,8192,128
pack_k,32,0.25,10493.952006101608,327.93600019067526,0.0701139543126158,4096,0,reference,8192,128
pack_total,32,0.25,35364.864110946655,1105.152003467083,0.2362856686503862,4096,0,reference,8192,128
pack_v2,32,0.25,9920.512080192566,310.0160025060177,0.06628259118623225,3072,0,reference,8192,128
pack_v4,32,0.25,9381.887972354889,293.1839991360903,0.06268384534990232,1024,0,reference,8192,128
pack_window,32,0.25,263437.31021881104,8232.415944337845,1.7601215940553703,4096,0,reference,8192,128
pattern_assignment,32,0.25,16465.92003107071,514.5600009709597,0.11001486990815372,4096,0,reference,8192,128
qk_fp16_regions,12256,95.75,1319967.4933999777,107.69969756853604,8.819188468993646,849920,0,reference,8192,128
qk_quantized_history,4096,32.0,658012.153595686,160.64749843644677,4.396421295573738,0,0,reference,8192,128
rope_position,4096,32.0,1023556.6088072956,249.89175019709364,6.838758292830315,0,0,reference,8192,128
selector_gain,32,0.25,40347.64802455902,1260.8640007674694,0.2695774812549722,4096,0,reference,8192,128
selector_score,32,0.25,2452.480062842369,76.64000196382403,0.01638592162216394,4096,0,reference,8192,128
selector_topk,32,0.25,114564.0959739685,3580.127999186516,0.7654448758975184,4096,0,reference,8192,128
selector_total,32,0.25,163163.13457489014,5098.847955465317,1.0901529334644704,4096,0,reference,8192,128
value_fp16_tail,12256,95.75,894982.1484652348,73.02400036433052,5.979705017862898,849920,0,reference,8192,128
attention_score_concat,4096,32.0,247299.07674342394,60.375751158062485,1.78786676833861,33818624,0,fused,8192,128
attention_softmax,4096,32.0,190910.4665480554,46.60900062208384,1.3802011853987417,33818624,0,fused,8192,128
cache_append,4096,32.0,2539623.8726973534,620.0253595452523,18.36039659293124,0,0,fused,8192,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3446763520,fused,8192,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,2322432,fused,8192,128
cache_mutation,16544,129.25,525243.2686891407,31.748263339527362,3.7972846391058486,0,3446763520,fused,8192,128
centroid_update,32,0.25,5386.239975690842,168.3199992403388,0.03894021597511157,4096,0,fused,8192,128
decode_decoder_model_forward,128,1.0,17713300.44555664,138385.15973091125,128.0596015207337,0,0,fused,8192,128
decode_lm_head,128,1.0,152835.0760936737,1194.0240319818258,1.1049323644175233,0,0,fused,8192,128
importance_update,4096,32.0,567162.8731787205,138.46749833464855,4.1003454867068925,33818624,0,fused,8192,128
mixed_v_fused_attention,4096,32.0,3477568.5091614723,849.0157493070001,25.141335964635665,0,0,fused,8192,128
output_projection,4096,32.0,404669.4460436702,98.79625147550541,2.9255873668064996,0,0,fused,8192,128
pack_k,32,0.25,10415.104031562805,325.47200098633766,0.07529675659137201,4096,0,fused,8192,128
pack_total,32,0.25,35381.248235702515,1105.6640073657036,0.255791322701061,4096,0,fused,8192,128
pack_v2,32,0.25,9904.127955436707,309.5039986073971,0.07160261766472435,3072,0,fused,8192,128
