hardware,layer,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
gpu4090,19,3042,890,5,543,4480,4480,3047,3585,895,0.00558659217877095,0.1514644351464435,0.9983590416803413,0.8485355648535565,0.6801339285714286
gpu4090,2,3415,744,6,315,4480,4480,3421,3730,750,0.008,0.08445040214477212,0.9982461268634902,0.9155495978552279,0.7636160714285715
gpu4090,20,3018,864,8,590,4480,4480,3026,3608,872,0.009174311926605505,0.16352549889135254,0.9973562458691342,0.8364745011086474,0.6754464285714286
gpu4090,21,2993,942,0,545,4480,4480,2993,3538,942,0.0,0.15404183154324477,1.0,0.8459581684567552,0.6680803571428572
gpu4090,22,2692,1071,10,707,4480,4480,2702,3399,1081,0.009250693802035153,0.2080023536334216,0.996299037749815,0.7919976463665784,0.603125
gpu4090,23,2859,969,3,649,4480,4480,2862,3508,972,0.0030864197530864196,0.18500570125427593,0.9989517819706499,0.814994298745724,0.6388392857142857
gpu4090,24,2947,913,3,617,4480,4480,2950,3564,916,0.0032751091703056767,0.17312008978675644,0.9989830508474576,0.8268799102132436,0.6584821428571429
gpu4090,25,3048,891,8,533,4480,4480,3056,3581,899,0.008898776418242492,0.14884110583635857,0.9973821989528796,0.8511588941636414,0.6821428571428572
gpu4090,26,3025,893,5,557,4480,4480,3030,3582,898,0.005567928730512249,0.155499720826354,0.9983498349834984,0.844500279173646,0.6763392857142857
gpu4090,27,2944,950,2,584,4480,4480,2946,3528,952,0.0021008403361344537,0.1655328798185941,0.9993211133740665,0.8344671201814059,0.6575892857142858
gpu4090,28,2945,909,9,617,4480,4480,2954,3562,918,0.00980392156862745,0.17321729365524985,0.9969532836831415,0.8267827063447502,0.659375
gpu4090,29,3226,821,3,430,4480,4480,3229,3656,824,0.0036407766990291263,0.11761487964989059,0.9990709197894085,0.8823851203501094,0.7207589285714285
gpu4090,3,2802,983,2,693,4480,4480,2804,3495,985,0.0020304568527918783,0.1982832618025751,0.9992867332382311,0.8017167381974248,0.6258928571428571
gpu4090,30,2821,994,3,662,4480,4480,2824,3483,997,0.003009027081243731,0.19006603502727534,0.9989376770538244,0.8099339649727246,0.6303571428571428
gpu4090,31,3283,790,4,403,4480,4480,3287,3686,794,0.005037783375314861,0.10933260987520348,0.9987830848798296,0.8906673901247966,0.7337053571428571
gpu4090,4,3154,872,5,449,4480,4480,3159,3603,877,0.005701254275940707,0.12461837357757424,0.9984172206394428,0.8753816264224258,0.7051339285714285
gpu4090,5,3483,723,6,268,4480,4480,3489,3751,729,0.00823045267489712,0.07144761396960811,0.998280309544282,0.9285523860303919,0.7787946428571428
gpu4090,6,3098,822,13,547,4480,4480,3111,3645,835,0.015568862275449102,0.15006858710562415,0.9958212793314047,0.8499314128943759,0.6944196428571429
gpu4090,7,3441,749,4,286,4480,4480,3445,3727,753,0.005312084993359893,0.07673732224309096,0.9988388969521045,0.9232626777569091,0.7689732142857143
gpu4090,8,3218,714,11,537,4480,4480,3229,3755,725,0.015172413793103448,0.1430093209054594,0.9965933725611644,0.8569906790945406,0.7207589285714285
gpu4090,9,3118,753,5,604,4480,4480,3123,3722,758,0.006596306068601583,0.16227834497581944,0.9983989753442203,0.8377216550241805,0.6970982142857143
