task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank,rank_score
dureader,16,2,0.4507042253521127,0.3972602739726027,0.0,0.0,0.40625,0.4583333333333333,32,29,0,0,71,73,25,23,0.05344395137950997,0.0,0.052083333333333315,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,58,74,"(1, -1, 0.3972602739726027, 61)"
samsum,13,5,0.3972602739726027,0.4393939393939394,0.0,0.0,0.4583333333333333,0.3854166666666667,29,29,0,0,73,66,23,30,0.042133665421336675,0.0,0.07291666666666663,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,59,69,"(1, -1, 0.3972602739726027, 58)"
dureader,19,6,0.3972602739726027,0.4057971014492754,0.0,0.0,0.4583333333333333,0.4270833333333333,29,28,0,0,73,69,23,27,0.00853682747667267,0.0,0.03125,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,60,83,"(1, -1, 0.3972602739726027, 57)"
dureader,3,6,0.39705882352941174,0.4492753623188406,0.0,0.0,0.4270833333333333,0.3958333333333333,27,31,0,0,68,69,28,27,0.052216538789428835,0.0,0.03125,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,61,56,"(1, -1, 0.39705882352941174, 58)"
passage_retrieval_en,17,5,0.39705882352941174,0.4461538461538462,0.0,0.0,0.4270833333333333,0.375,27,29,0,0,68,65,28,31,0.04909502262443444,0.0,0.052083333333333315,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,62,49,"(1, -1, 0.39705882352941174, 56)"
passage_retrieval_en,3,6,0.5,0.3968253968253968,0.0,0.0,0.3541666666666667,0.3958333333333333,34,25,0,0,68,63,28,33,0.1031746031746032,0.0,0.04166666666666663,9,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,63,31,"(1, -1, 0.3968253968253968, 59)"
dureader,9,7,0.41025641025641024,0.3950617283950617,0.0,0.0,0.4791666666666667,0.5104166666666666,32,32,0,0,78,81,18,15,0.015194681861348536,0.0,0.031249999999999944,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,64,128,"(1, -1, 0.3950617283950617, 64)"
passage_retrieval_zh,0,4,0.417910447761194,0.3939393939393939,0.0,0.0,0.40625,0.4166666666666667,28,26,0,0,67,66,29,30,0.023971053821800092,0.0,0.010416666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,65,60,"(1, -1, 0.3939393939393939, 54)"
samsum,3,6,0.42424242424242425,0.3939393939393939,0.0,0.0,0.3958333333333333,0.4166666666666667,28,26,0,0,66,66,30,30,0.03030303030303033,0.0,0.02083333333333337,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,66,52,"(1, -1, 0.3939393939393939, 54)"
dureader,18,4,0.3939393939393939,0.40298507462686567,0.0,0.0,0.4166666666666667,0.4166666666666667,26,27,0,0,66,67,30,29,0.009045680687471747,0.0,0.0,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,67,67,"(1, -1, 0.3939393939393939, 53)"
