task,phase,kv_type,layer,kv_head,bucket,metric,true_positive,true_negative,false_positive,false_negative,total,false_positive_rate,false_negative_rate
dureader,prefill,v,3,2,bucketfirst,gate_vs_mse_oracle,14,13,0,5,32,0.0,0.2631578947368421
dureader,prefill,v,3,2,bucketlast,gate_vs_mse_oracle,19,4,0,8,31,0.0,0.2962962962962963
dureader,prefill,v,3,2,bucketmiddle,gate_vs_mse_oracle,22,4,0,7,33,0.0,0.2413793103448276
dureader,prefill,v,3,3,bucketfirst,gate_vs_mse_oracle,13,16,0,4,33,0.0,0.23529411764705882
dureader,prefill,v,3,3,bucketlast,gate_vs_mse_oracle,16,4,0,14,34,0.0,0.4666666666666667
dureader,prefill,v,3,3,bucketmiddle,gate_vs_mse_oracle,16,7,0,6,29,0.0,0.2727272727272727
dureader,prefill,v,3,4,bucketfirst,gate_vs_mse_oracle,15,12,0,0,27,0.0,0.0
dureader,prefill,v,3,4,bucketlast,gate_vs_mse_oracle,33,0,0,1,34,,0.029411764705882353
dureader,prefill,v,3,4,bucketmiddle,gate_vs_mse_oracle,34,0,0,1,35,,0.02857142857142857
dureader,prefill,v,3,5,bucketfirst,gate_vs_mse_oracle,13,17,0,1,31,0.0,0.07142857142857142
dureader,prefill,v,3,5,bucketlast,gate_vs_mse_oracle,11,7,0,11,29,0.0,0.5
dureader,prefill,v,3,5,bucketmiddle,gate_vs_mse_oracle,21,7,0,8,36,0.0,0.27586206896551724
dureader,prefill,v,3,6,bucketfirst,gate_vs_mse_oracle,11,15,0,6,32,0.0,0.35294117647058826
dureader,prefill,v,3,6,bucketlast,gate_vs_mse_oracle,14,8,0,9,31,0.0,0.391304347826087
dureader,prefill,v,3,6,bucketmiddle,gate_vs_mse_oracle,16,5,0,12,33,0.0,0.42857142857142855
dureader,prefill,v,3,7,bucketfirst,gate_vs_mse_oracle,11,13,0,3,27,0.0,0.21428571428571427
dureader,prefill,v,3,7,bucketlast,gate_vs_mse_oracle,32,2,0,1,35,0.0,0.030303030303030304
dureader,prefill,v,3,7,bucketmiddle,gate_vs_mse_oracle,29,2,0,3,34,0.0,0.09375
dureader,prefill,v,4,0,bucketfirst,gate_vs_mse_oracle,15,16,0,1,32,0.0,0.0625
dureader,prefill,v,4,0,bucketlast,gate_vs_mse_oracle,29,3,0,2,34,0.0,0.06451612903225806
dureader,prefill,v,4,0,bucketmiddle,gate_vs_mse_oracle,24,2,0,4,30,0.0,0.14285714285714285
dureader,prefill,v,4,1,bucketfirst,gate_vs_mse_oracle,15,17,0,5,37,0.0,0.25
dureader,prefill,v,4,1,bucketlast,gate_vs_mse_oracle,19,4,0,12,35,0.0,0.3870967741935484
dureader,prefill,v,4,1,bucketmiddle,gate_vs_mse_oracle,10,6,1,7,24,0.14285714285714285,0.4117647058823529
dureader,prefill,v,4,2,bucketfirst,gate_vs_mse_oracle,21,12,0,0,33,0.0,0.0
dureader,prefill,v,4,2,bucketlast,gate_vs_mse_oracle,32,0,0,2,34,,0.058823529411764705
dureader,prefill,v,4,2,bucketmiddle,gate_vs_mse_oracle,29,0,0,0,29,,0.0
dureader,prefill,v,4,3,bucketfirst,gate_vs_mse_oracle,18,12,0,1,31,0.0,0.05263157894736842
dureader,prefill,v,4,3,bucketlast,gate_vs_mse_oracle,33,1,0,0,34,0.0,0.0
dureader,prefill,v,4,3,bucketmiddle,gate_vs_mse_oracle,30,0,0,1,31,,0.03225806451612903
dureader,prefill,v,4,4,bucketfirst,gate_vs_mse_oracle,19,12,0,0,31,0.0,0.0
dureader,prefill,v,4,4,bucketlast,gate_vs_mse_oracle,27,0,0,2,29,,0.06896551724137931
dureader,prefill,v,4,4,bucketmiddle,gate_vs_mse_oracle,34,0,0,2,36,,0.05555555555555555
dureader,prefill,v,4,5,bucketfirst,gate_vs_mse_oracle,11,16,0,5,32,0.0,0.3125
dureader,prefill,v,4,5,bucketlast,gate_vs_mse_oracle,13,6,0,11,30,0.0,0.4583333333333333
dureader,prefill,v,4,5,bucketmiddle,gate_vs_mse_oracle,14,9,0,11,34,0.0,0.44
dureader,prefill,v,4,6,bucketfirst,gate_vs_mse_oracle,12,13,0,1,26,0.0,0.07692307692307693
dureader,prefill,v,4,6,bucketlast,gate_vs_mse_oracle,26,2,0,1,29,0.0,0.037037037037037035
dureader,prefill,v,4,6,bucketmiddle,gate_vs_mse_oracle,34,4,0,3,41,0.0,0.08108108108108109
dureader,prefill,v,4,7,bucketfirst,gate_vs_mse_oracle,12,14,0,1,27,0.0,0.07692307692307693
dureader,prefill,v,4,7,bucketlast,gate_vs_mse_oracle,18,8,0,5,31,0.0,0.21739130434782608
dureader,prefill,v,4,7,bucketmiddle,gate_vs_mse_oracle,24,2,1,11,38,0.3333333333333333,0.3142857142857143
dureader,prefill,v,5,0,bucketfirst,gate_vs_mse_oracle,16,14,0,1,31,0.0,0.058823529411764705
dureader,prefill,v,5,0,bucketlast,gate_vs_mse_oracle,29,2,0,6,37,0.0,0.17142857142857143
dureader,prefill,v,5,0,bucketmiddle,gate_vs_mse_oracle,23,2,0,3,28,0.0,0.11538461538461539
dureader,prefill,v,5,1,bucketfirst,gate_vs_mse_oracle,18,13,0,2,33,0.0,0.1
dureader,prefill,v,5,1,bucketlast,gate_vs_mse_oracle,30,0,0,0,30,,0.0
dureader,prefill,v,5,1,bucketmiddle,gate_vs_mse_oracle,32,1,0,0,33,0.0,0.0
dureader,prefill,v,5,2,bucketfirst,gate_vs_mse_oracle,21,13,0,0,34,0.0,0.0
dureader,prefill,v,5,2,bucketlast,gate_vs_mse_oracle,28,0,0,0,28,,0.0
dureader,prefill,v,5,2,bucketmiddle,gate_vs_mse_oracle,34,0,0,0,34,,0.0
dureader,prefill,v,5,3,bucketfirst,gate_vs_mse_oracle,22,13,0,1,36,0.0,0.043478260869565216
dureader,prefill,v,5,3,bucketlast,gate_vs_mse_oracle,25,1,0,1,27,0.0,0.038461538461538464
dureader,prefill,v,5,3,bucketmiddle,gate_vs_mse_oracle,32,0,0,1,33,,0.030303030303030304
dureader,prefill,v,5,4,bucketfirst,gate_vs_mse_oracle,12,15,0,1,28,0.0,0.07692307692307693
dureader,prefill,v,5,4,bucketlast,gate_vs_mse_oracle,26,3,0,3,32,0.0,0.10344827586206896
dureader,prefill,v,5,4,bucketmiddle,gate_vs_mse_oracle,27,2,0,7,36,0.0,0.20588235294117646
dureader,prefill,v,5,5,bucketfirst,gate_vs_mse_oracle,11,14,0,7,32,0.0,0.3888888888888889
dureader,prefill,v,5,5,bucketlast,gate_vs_mse_oracle,26,3,0,9,38,0.0,0.2571428571428571
dureader,prefill,v,5,5,bucketmiddle,gate_vs_mse_oracle,16,6,0,4,26,0.0,0.2
dureader,prefill,v,5,6,bucketfirst,gate_vs_mse_oracle,17,12,0,1,30,0.0,0.05555555555555555
dureader,prefill,v,5,6,bucketlast,gate_vs_mse_oracle,25,4,0,2,31,0.0,0.07407407407407407
dureader,prefill,v,5,6,bucketmiddle,gate_vs_mse_oracle,29,2,0,4,35,0.0,0.12121212121212122
dureader,prefill,v,5,7,bucketfirst,gate_vs_mse_oracle,19,12,0,0,31,0.0,0.0
dureader,prefill,v,5,7,bucketlast,gate_vs_mse_oracle,34,3,0,0,37,0.0,0.0
dureader,prefill,v,5,7,bucketmiddle,gate_vs_mse_oracle,26,1,0,1,28,0.0,0.037037037037037035
dureader,prefill,v,6,0,bucketfirst,gate_vs_mse_oracle,18,15,0,3,36,0.0,0.14285714285714285
dureader,prefill,v,6,0,bucketlast,gate_vs_mse_oracle,21,2,1,4,28,0.3333333333333333,0.16
dureader,prefill,v,6,0,bucketmiddle,gate_vs_mse_oracle,16,8,0,8,32,0.0,0.3333333333333333
dureader,prefill,v,6,1,bucketfirst,gate_vs_mse_oracle,9,16,0,5,30,0.0,0.35714285714285715
dureader,prefill,v,6,1,bucketlast,gate_vs_mse_oracle,19,6,0,8,33,0.0,0.2962962962962963
dureader,prefill,v,6,1,bucketmiddle,gate_vs_mse_oracle,12,10,0,11,33,0.0,0.4782608695652174
