task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,18,2,bucketmiddle,relative_candidate_benefit,30,0.4087914305104866,-0.09091556539072347,0.8485138192956075,0.21212728553982912
dureader,prefill,v,18,3,bucketfirst,relative_candidate_benefit,33,-0.8785116307063237,-6.826937041609798,0.8525567158791617,2.1115570457366326
dureader,prefill,v,18,3,bucketlast,relative_candidate_benefit,33,0.5694790455559033,-0.05480133256560235,0.8284866483225956,0.20679161830535156
dureader,prefill,v,18,3,bucketmiddle,relative_candidate_benefit,30,0.5791803224022142,-0.1314991177185438,0.8279694683786218,0.20565055483571107
dureader,prefill,v,18,4,bucketfirst,relative_candidate_benefit,30,-3.9884065397958155,-18.505620917893552,0.8796507502292958,5.849152185093099
dureader,prefill,v,18,4,bucketlast,relative_candidate_benefit,30,0.17744453202997007,-0.12433788918975458,0.603900410249958,0.20260232859350055
dureader,prefill,v,18,4,bucketmiddle,relative_candidate_benefit,36,0.16760398121474354,-0.33561242617691306,0.9556885747496497,0.23965291604223565
dureader,prefill,v,18,5,bucketfirst,relative_candidate_benefit,36,-5.734436681677264,-64.39223664903028,0.5982196945447583,11.867278838705676
dureader,prefill,v,18,5,bucketlast,relative_candidate_benefit,32,0.1933055737218785,-0.2609877306717505,0.5169125663179961,0.20953229218545796
dureader,prefill,v,18,5,bucketmiddle,relative_candidate_benefit,28,0.24320242469771694,-0.1923939190005078,0.6779303223703977,0.21040518552254836
dureader,prefill,v,18,6,bucketfirst,relative_candidate_benefit,25,-0.7401398184573306,-9.6367772089389,0.6575059991490767,1.9927161949588363
dureader,prefill,v,18,6,bucketlast,relative_candidate_benefit,36,0.31411684757381253,-0.3266541094922683,0.6520926293113548,0.23369996616714866
dureader,prefill,v,18,6,bucketmiddle,relative_candidate_benefit,35,0.3177100927046446,-0.13169688455109774,0.6739041301853815,0.2130975264943799
dureader,prefill,v,18,7,bucketfirst,relative_candidate_benefit,34,-7.112142627769364,-69.60577387671545,0.6814968652297084,13.672053449634005
dureader,prefill,v,18,7,bucketlast,relative_candidate_benefit,31,0.24076475464311958,-0.26772566527026104,0.7136295334266135,0.2308359728614069
dureader,prefill,v,18,7,bucketmiddle,relative_candidate_benefit,31,0.2598643133759838,-0.2528547611804106,0.7336036146266035,0.2899485079045232
dureader,prefill,v,19,0,bucketfirst,relative_candidate_benefit,29,-9.792411888187065,-35.3605098933381,0.6290892624708457,12.393836373492228
dureader,prefill,v,19,0,bucketlast,relative_candidate_benefit,33,0.3739188145588442,-0.14806604866189307,0.845801352491425,0.2572583492473647
dureader,prefill,v,19,0,bucketmiddle,relative_candidate_benefit,34,0.4294480845260735,-0.19194420821964986,0.8021753620935649,0.22601939230009113
dureader,prefill,v,19,1,bucketfirst,relative_candidate_benefit,33,-4.668016710995716,-23.588878028487997,0.5276573883111173,7.209478157626876
dureader,prefill,v,19,1,bucketlast,relative_candidate_benefit,32,0.30866877534527637,-0.056102154313799286,0.7457427218647416,0.215112994107715
dureader,prefill,v,19,1,bucketmiddle,relative_candidate_benefit,31,0.22785259549807205,-0.1753728653828479,0.790002316025434,0.23934504561026748
dureader,prefill,v,19,2,bucketfirst,relative_candidate_benefit,29,-5.620823091700709,-28.935908961597814,0.7041632059921171,7.880198859715013
dureader,prefill,v,19,2,bucketlast,relative_candidate_benefit,35,0.5202110939019485,0.0844457642440604,0.8199138585773498,0.17935017118847482
dureader,prefill,v,19,2,bucketmiddle,relative_candidate_benefit,32,0.3993059984488979,-0.25908238436630754,0.8409620944887148,0.27586542229785915
dureader,prefill,v,19,3,bucketfirst,relative_candidate_benefit,36,-12.409706550531824,-83.51039739838566,0.7670603059910296,20.38740628159214
dureader,prefill,v,19,3,bucketlast,relative_candidate_benefit,31,0.3797983478642673,-0.028086822768467308,0.8343005600732614,0.2353525212166826
dureader,prefill,v,19,3,bucketmiddle,relative_candidate_benefit,29,0.37598499071612823,-0.0996272278618098,0.8106879845763865,0.2577408071307296
dureader,prefill,v,19,4,bucketfirst,relative_candidate_benefit,31,-13.969075756896542,-78.25679686571235,0.6119328223291046,20.54864529061642
dureader,prefill,v,19,4,bucketlast,relative_candidate_benefit,31,0.3539440516731488,-0.10425017763835139,0.8662019508195243,0.21141650328109812
dureader,prefill,v,19,4,bucketmiddle,relative_candidate_benefit,34,0.3068468681203573,-0.2845491618164182,0.6408334322947937,0.2237990223996265
dureader,prefill,v,19,5,bucketfirst,relative_candidate_benefit,31,-6.19222519346523,-23.01376368631372,0.565024345054974,8.403427581535038
dureader,prefill,v,19,5,bucketlast,relative_candidate_benefit,37,0.26549978722792444,-0.16302467153018596,0.739726303668987,0.266756506096289
dureader,prefill,v,19,5,bucketmiddle,relative_candidate_benefit,28,0.23468459895455054,-0.089404852658442,0.570945954035247,0.17360717392033426
dureader,prefill,v,19,6,bucketfirst,relative_candidate_benefit,32,-9.433736007474812,-36.74359794045001,0.6997768811805207,13.002897233933991
dureader,prefill,v,19,6,bucketlast,relative_candidate_benefit,32,0.19392184701986692,-0.34379182264968133,0.8806503618497548,0.2315752401703988
dureader,prefill,v,19,6,bucketmiddle,relative_candidate_benefit,32,0.22395846562082447,-0.10358340404980226,0.8171051586223658,0.19857648302955186
dureader,prefill,v,19,7,bucketfirst,relative_candidate_benefit,28,-5.167142349990395,-17.6207460642207,0.9072111400847058,6.916648136220849
dureader,prefill,v,19,7,bucketlast,relative_candidate_benefit,33,0.6445659559237129,0.27001998932875587,0.8593357450764497,0.14291866254280403
dureader,prefill,v,19,7,bucketmiddle,relative_candidate_benefit,35,0.6633292116506865,-0.0001687783391345117,0.9274736231681973,0.20640762706083285
dureader,prefill,v,20,0,bucketfirst,relative_candidate_benefit,30,-19.074007668376446,-97.75301228700641,0.5642944081736267,25.50495818152524
dureader,prefill,v,20,0,bucketlast,relative_candidate_benefit,32,0.16401684597739,-0.3603527498969383,0.8677581122586848,0.26975430710399984
dureader,prefill,v,20,0,bucketmiddle,relative_candidate_benefit,34,0.23531677301727888,-0.14169901298073448,0.8429812839635566,0.23512950024878002
dureader,prefill,v,20,1,bucketfirst,relative_candidate_benefit,28,-23.12258309010919,-78.38702592151694,0.8246193569482279,29.000213926220223
