context_tokens,decode_tokens,capacity_backend,round,seed,backend,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,profile_enabled
8192,128,fixed_capacity,1,28539470,fused,82.22920587286353,82.22920587286353,12793.021438598633,99.94547998905182,97.37164688110352,100.384765625,102.09382629394531,10.005454975147867,17349902848,17372807168,4096,0,0,0,0,0,0,0,False
8192,128,fixed_capacity,2,28539471,fused,80.17353597097099,80.17353597097099,12731.052017211914,99.46134388446808,97.20627212524414,98.42278289794922,99.84921264648438,10.054157333341244,17349902848,17372807168,4096,0,0,0,0,0,0,0,False
8192,128,fixed_capacity,3,28539472,fused,80.17424494028091,80.17424494028091,12680.453117370605,99.06603997945786,96.99737548828125,97.91180419921875,98.20159912109375,10.094276506937778,17349902848,17372807168,4096,0,0,0,0,0,0,0,False
8192,128,fixed_capacity,4,28539473,fused,80.88282099924982,80.88282099924982,12988.282913208008,101.47096025943756,99.25734329223633,100.84761810302734,105.59283447265625,9.8550363320031,17349902848,17372807168,4096,0,0,0,0,0,0,0,False
8192,128,chunked_capacity,0,28539469,fused,68.94384091719985,68.94384091719985,12827.047866821289,100.21131145954132,97.71469116210938,100.09907531738281,102.61504364013672,9.978913412421846,16492659200,16519266304,4096,0,0,0,0,0,0,0,False
8192,128,chunked_capacity,1,28539470,fused,69.18993312865496,69.18993312865496,12892.408874511719,100.7219443321228,98.50470352172852,101.07596588134766,102.05286407470703,9.928323034577028,16492659200,16519266304,4096,0,0,0,0,0,0,0,False
8192,128,chunked_capacity,2,28539471,fused,70.61181706376374,70.61181706376374,13020.948440551758,101.72615969181061,99.10271835327148,102.27609252929688,106.09766387939453,9.830313097728236,16492659200,16519266304,4096,0,0,0,0,0,0,0,False
8192,128,chunked_capacity,3,28539472,fused,69.76666487753391,69.76666487753391,12865.908744812012,100.51491206884384,97.7623062133789,100.8373794555664,105.06444549560547,9.948772569338649,16492659200,16519266304,4096,0,0,0,0,0,0,0,False
8192,128,chunked_capacity,4,28539473,fused,70.36506896838546,70.36506896838546,12489.223205566406,97.57205629348755,95.34976196289062,96.83353424072266,98.95526123046875,10.24883596787275,16492659200,16519266304,4096,0,0,0,0,0,0,0,False
16384,128,baseline,0,36805197,fused,56.01791897788644,56.01791897788644,14162.984954833984,110.6483199596405,108.0821762084961,109.84754943847656,113.4417953491211,9.037642870354965,16989702144,16999514112,4096,0,0,0,0,0,0,0,False
16384,128,baseline,1,36805198,fused,55.797174805775285,55.797174805775285,14167.642150878906,110.68470430374146,108.03558349609375,111.01388549804688,113.21139526367188,9.03467201082993,16989702144,16999514112,4096,0,0,0,0,0,0,0,False
