component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,context_tokens,decode_tokens,backend,profile_on_tpot_ms,profile_on_shares_approximate
mixed_v_v2_compute,4096,32.0,945687.551304698,230.88074983024853,5.217488117395097,49892352,0,16384,128,fixed_capacity,141.60423231124878,True
mixed_v_v4_compute,4096,32.0,429629.43267822266,104.8899982124567,2.3703245927148617,16630784,0,16384,128,fixed_capacity,141.60423231124878,True
output_projection,4096,32.0,403846.1506739259,98.59525162937643,2.2280746843817427,0,0,16384,128,fixed_capacity,141.60423231124878,True
pack_k,32,0.25,10487.807959318161,327.74399872869253,0.057862677085862985,4096,0,16384,128,fixed_capacity,141.60423231124878,True
pack_total,32,0.25,45480.9604883194,1421.2800152599812,0.2509247061443723,4096,0,16384,128,fixed_capacity,141.60423231124878,True
pack_v2,32,0.25,10018.81605386734,313.0880016833544,0.05527518432414877,3072,0,16384,128,fixed_capacity,141.60423231124878,True
pack_v4,32,0.25,9507.839977741241,297.1199993044138,0.052456059125997455,1024,0,16384,128,fixed_capacity,141.60423231124878,True
pack_window,32,0.25,269787.13607788086,8430.848002433777,1.4884526869053274,4096,0,16384,128,fixed_capacity,141.60423231124878,True
pattern_assignment,32,0.25,16324.60805773735,510.1440018042922,0.09006510495445257,4096,0,16384,128,fixed_capacity,141.60423231124878,True
qk_fp16_regions,12256,95.75,979529.3125156313,79.92243085147122,5.404197762400117,849920,0,16384,128,fixed_capacity,141.60423231124878,True
qk_quantized_history,4096,32.0,991540.2316451073,242.07525186648127,5.470463653021789,0,0,16384,128,fixed_capacity,141.60423231124878,True
rope_position,4096,32.0,892338.1768837571,217.85600021576101,4.923152290802369,0,0,16384,128,fixed_capacity,141.60423231124878,True
selector_gain,32,0.25,37386.239886283875,1168.319996446371,0.20626502071604427,4096,0,16384,128,fixed_capacity,141.60423231124878,True
selector_score,32,0.25,2366.4640560746193,73.95200175233185,0.013056107247872357,4096,0,16384,128,fixed_capacity,141.60423231124878,True
selector_topk,32,0.25,112289.79206085205,3509.0560019016266,0.619518206593687,4096,0,16384,128,fixed_capacity,141.60423231124878,True
selector_total,32,0.25,157814.7840499878,4931.7120015621185,0.8706858405760999,4096,0,16384,128,fixed_capacity,141.60423231124878,True
value_fp16_tail,12256,95.75,1306623.9364296198,106.61096087056298,7.208823731284407,849920,0,16384,128,fixed_capacity,141.60423231124878,True
attention_score_concat,4096,32.0,235516.93022996187,57.499250544424285,1.3081499585525491,67373056,0,16384,128,chunked_capacity,140.65482366085052,True
attention_softmax,4096,32.0,183735.29626056552,44.85725006361463,1.0205352114313604,67373056,0,16384,128,chunked_capacity,140.65482366085052,True
cache_append,4096,32.0,2862060.2882802486,698.7451875684201,15.896963516945505,0,0,16384,128,chunked_capacity,140.65482366085052,True
cache_cat_events,16384,128.0,0.0,0.0,0.0,0,3429367808,16384,128,chunked_capacity,140.65482366085052,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,4681728,16384,128,chunked_capacity,140.65482366085052,True
cache_mutation,16384,128.0,503989.3469400704,30.761068538822656,2.7993471325685007,0,3429367808,16384,128,chunked_capacity,140.65482366085052,True
centroid_update,32,0.25,5275.647938251495,164.86399807035923,0.02930294066342906,4096,0,16384,128,chunked_capacity,140.65482366085052,True
decode_decoder_model_forward,128,1.0,17850037.27722168,139453.41622829437,99.14584697397011,0,0,16384,128,chunked_capacity,140.65482366085052,True
