task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std
passage_retrieval_zh,decode,v,2,7,bucketfirst,candidate_gate_accepted_fraction,1,0.015625,0.0
passage_retrieval_zh,decode,v,20,0,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,20,1,bucketfirst,candidate_gate_accepted_fraction,1,0.1171875,0.0
passage_retrieval_zh,decode,v,20,2,bucketfirst,candidate_gate_accepted_fraction,1,0.125,0.0
passage_retrieval_zh,decode,v,20,3,bucketfirst,candidate_gate_accepted_fraction,1,0.109375,0.0
passage_retrieval_zh,decode,v,20,4,bucketfirst,candidate_gate_accepted_fraction,1,0.21875,0.0
passage_retrieval_zh,decode,v,20,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0390625,0.0
passage_retrieval_zh,decode,v,20,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,20,7,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,21,0,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,21,1,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,21,2,bucketfirst,candidate_gate_accepted_fraction,1,0.1328125,0.0
passage_retrieval_zh,decode,v,21,3,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,21,4,bucketfirst,candidate_gate_accepted_fraction,1,0.171875,0.0
passage_retrieval_zh,decode,v,21,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,21,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,21,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,22,0,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,22,1,bucketfirst,candidate_gate_accepted_fraction,1,0.140625,0.0
passage_retrieval_zh,decode,v,22,2,bucketfirst,candidate_gate_accepted_fraction,1,0.109375,0.0
passage_retrieval_zh,decode,v,22,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,22,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
