label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,3,32512,2878.4639835357666,2887.9359817504883,3072.000026702881,,
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,4,32512,2701.3120651245117,2699.2077243328094,2703.360080718994,,
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,0,32512,2697.216033935547,2812.55423784256,3088.383913040161,,
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,1,32512,2697.216033935547,2704.793632030487,2698.240041732788,,
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,2,32512,2697.216033935547,2701.6601943969727,2698.240041732788,,
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,3,32512,2697.216033935547,2701.8445134162903,2698.240041732788,,
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,4,32512,2696.1920261383057,2701.660190820694,2698.240041732788,,
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,0,32512,2319.3600177764893,2358.64577293396,2653.183937072754,,
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,1,32512,2319.3600177764893,2321.715222597122,2320.3840255737305,,
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,2,32512,2319.3600177764893,2320.3789019584656,2321.4080333709717,,
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,3,32512,2319.3600177764893,2320.3993821144104,2320.3840255737305,,
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,4,32512,2320.3840255737305,2321.443862915039,2320.3840255737305,,
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,summary,5952,347.135990858078,367.00159311294556,398.3359932899475,0.0780153104275721,UNSTABLE
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,summary,1984,125.95200538635254,125.95200538635254,125.95200538635254,0.0,STABLE
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,summary,12096,726.0159850120544,726.0159850120544,726.0159850120544,0.0,STABLE
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,summary,4032,239.6160066127777,239.6160066127777,239.6160066127777,0.0,STABLE
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,summary,16128,1336.3200426101685,1336.729645729065,1337.3440504074097,0.00041958534502635546,STABLE
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,summary,16128,1341.439962387085,1342.3616170883179,1348.6080169677734,0.0043186051234189865,STABLE
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,summary,16128,1150.9759426116943,1149.8495817184448,1154.047966003418,0.002960299097545089,STABLE
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,summary,24384,1442.8160190582275,1470.6688165664673,1581.055998802185,0.04196043540368285,STABLE
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,summary,8128,489.47200179100037,504.21760082244873,563.1999969482422,0.06539272280359003,UNSTABLE
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,summary,32512,2682.87992477417,2725.6831645965576,2878.4639835357666,0.03147071386038973,STABLE
candidate_a,32768,2,WARP_AGG_FULL,SKEWED,1.0,summary,32512,2697.216033935547,2697.0112323760986,2697.216033935547,0.00016979914778507405,STABLE
candidate_a,32768,2,WARP_AGG_FULL,ALL_SAME,1.0,summary,32512,2319.3600177764893,2319.5648193359375,2320.3840255737305,0.00019742936476995686,STABLE
