comparable,component,cosine,difference_rate,exact,first_non_exact,layer,max_abs,mean_abs,relative_l2,shape_equal
True,POST_ATTENTION_RMSNORM,1.0000436305999756,0.9096431732177734,False,False,8,0.03003692626953125,0.0007216757512651384,0.004098029341548681,True
True,MLP_OUTPUT,1.0000524520874023,0.9431490898132324,False,False,8,0.0126953125,0.0001900689530884847,0.006402184255421162,True
True,LAYER_OUTPUT,1.0011870861053467,0.9169802665710449,False,False,8,0.5,0.0002652933762874454,0.0015101938042789698,True
True,LAYER_INPUT,1.0011870861053467,0.9169802665710449,False,False,9,0.5,0.0002652933762874454,0.0015101938042789698,True
True,INPUT_RMSNORM,1.0000783205032349,0.9091639518737793,False,False,9,0.154296875,0.0011326457606628537,0.004317575599998236,True
True,Q_PROJ,1.0000805854797363,0.8881607055664062,False,False,9,0.23046875,0.0020862820092588663,0.00383583246730268,True
True,K_PROJ,0.9999954700469971,0.8674087524414062,False,False,9,0.23046875,0.003268361557275057,0.0030875597149133682,True
True,V_PROJ,0.999976634979248,0.9347743988037109,False,False,9,0.0382080078125,0.0008522673742845654,0.005761751905083656,True
True,K_POST_ROPE,0.999994158744812,0.8594017028808594,False,False,9,0.23046875,0.0032890252768993378,0.0030935790855437517,True
True,KMEANS_K_INPUT,0.999994158744812,0.8594017028808594,False,False,9,0.23046875,0.0032890252768993378,0.0030935790855437517,True
True,KMEANS_V_INPUT,0.9999746084213257,0.9347743988037109,False,False,9,0.0382080078125,0.0008522673742845654,0.005761764943599701,True
True,K_CENTROID,0.9990324378013611,0.824493408203125,False,False,9,2.7236328125,0.02286946028470993,0.04396417737007141,True
True,V_CENTROID,0.996954083442688,0.850616455078125,False,False,9,0.690673828125,0.0027041088324040174,0.07800700515508652,True
True,K_ASSIGNMENT,0.9951285719871521,0.025146484375,False,False,9,27.0,0.217041015625,0.0987076684832573,True
True,V_ASSIGNMENT,0.9966859221458435,0.018310546875,False,False,9,27.0,0.176025390625,0.08150725811719894,True
True,V_PATTERN_MASK,0.9993842244148254,0.001220703125,False,False,9,1.0,0.001220703125,0.035093121230602264,True
True,PACKED_K,1.0,0.0,True,False,9,0.0,0.0,0.0,True
True,PACKED_V,0.9472965002059937,0.216583251953125,False,False,9,3824467968.0,92432424.0,0.32480841875076294,True
True,ATTENTION_VALUE_OUTPUT,1.0000396966934204,0.9443912506103516,False,False,9,0.01953125,0.00018226925749331713,0.008548607118427753,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0011049509048462,0.9257903099060059,False,False,9,0.5,0.0003237029886804521,0.0016960876528173685,True
True,POST_ATTENTION_RMSNORM,1.0000330209732056,0.9210104942321777,False,False,9,0.045654296875,0.0009566947701387107,0.006053100805729628,True
True,MLP_OUTPUT,1.0000189542770386,0.9480781555175781,False,False,9,0.03564453125,0.0002655762655194849,0.009354665875434875,True
True,LAYER_OUTPUT,1.0010672807693481,0.9264793395996094,False,False,9,0.5,0.0003780137049034238,0.0018937834538519382,True
True,LAYER_INPUT,1.0010672807693481,0.9264793395996094,False,False,10,0.5,0.0003780137049034238,0.0018937834538519382,True
True,INPUT_RMSNORM,1.0000710487365723,0.920137882232666,False,False,10,0.193359375,0.001498972182162106,0.005820469465106726,True
True,Q_PROJ,1.000065803527832,0.8971261978149414,False,False,10,0.203125,0.002683163620531559,0.005208777263760567,True
True,K_PROJ,0.9999901056289673,0.8796634674072266,False,False,10,0.3046875,0.00417837779968977,0.00423552468419075,True
True,V_PROJ,0.9999631643295288,0.9378738403320312,False,False,10,0.05322265625,0.0010646883165463805,0.007885239087045193,True
True,K_POST_ROPE,0.9999884963035583,0.8728752136230469,False,False,10,0.3046875,0.004197258502244949,0.0042400783859193325,True
True,KMEANS_K_INPUT,0.9999884963035583,0.8728752136230469,False,False,10,0.3046875,0.004197258502244949,0.0042400783859193325,True
True,KMEANS_V_INPUT,0.999964714050293,0.9378738403320312,False,False,10,0.05322265625,0.0010646883165463805,0.007885211147367954,True
True,K_CENTROID,0.9985319375991821,0.842437744140625,False,False,10,2.103271484375,0.02822844684123993,0.05416314676403999,True
True,V_CENTROID,0.9914343357086182,0.869049072265625,False,False,10,0.77880859375,0.006312459707260132,0.13092105090618134,True
True,K_ASSIGNMENT,0.9939348697662354,0.021484375,False,False,10,27.0,0.240478515625,0.11008388549089432,True
True,V_ASSIGNMENT,0.9926339983940125,0.033447265625,False,False,10,29.0,0.306640625,0.12161622196435928,True
True,V_PATTERN_MASK,0.9991390109062195,0.001708984375,False,False,10,1.0,0.001708984375,0.04149208962917328,True
True,PACKED_K,1.0,0.0,True,False,10,0.0,0.0,0.0,True
True,PACKED_V,0.9393795728683472,0.26043701171875,False,False,10,3824139264.0,108190240.0,0.3479810357093811,True
