label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
post_histogram,16384,2,RESIDUAL_ONLY,3,102.39999741315842,102.84031745046377,103.42399775981903,,
post_histogram,16384,2,RESIDUAL_ONLY,4,102.39999741315842,102.95807749032974,103.42399775981903,,
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,0,150.52799880504608,150.6713616102934,151.5520066022873,,
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,1,150.52799880504608,150.74816226959229,151.5520066022873,,
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,2,150.52799880504608,150.76864205300808,151.5520066022873,,
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,3,150.52799880504608,150.70720173418522,151.5520066022873,,
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,4,150.52799880504608,150.77376194298267,151.5520066022873,,
post_histogram,16384,2,LANE0_TABLE_FULL,0,159.743994474411,160.5068775266409,160.76800227165222,,
post_histogram,16384,2,LANE0_TABLE_FULL,1,159.743994474411,160.36351718008518,160.76800227165222,,
post_histogram,16384,2,LANE0_TABLE_FULL,2,159.743994474411,160.5529571324587,160.76800227165222,,
post_histogram,16384,2,LANE0_TABLE_FULL,3,159.743994474411,160.49663744866848,160.76800227165222,,
post_histogram,16384,2,LANE0_TABLE_FULL,4,159.743994474411,160.4966375976801,160.76800227165222,,
post_histogram,16384,4,FULL,0,91.13600105047226,93.57824094593525,99.32799637317657,,
post_histogram,16384,4,FULL,1,91.13600105047226,92.86144107580185,97.28000313043594,,
post_histogram,16384,4,FULL,2,91.13600105047226,93.52704096585512,99.32799637317657,,
post_histogram,16384,4,FULL,3,95.23200243711472,95.09888131171465,101.3759970664978,,
post_histogram,16384,4,FULL,4,91.64800122380257,94.37696117907763,100.35199671983719,,
post_histogram,16384,4,RESIDUAL_ONLY,0,81.91999793052673,84.25983853638172,89.08800035715103,,
post_histogram,16384,4,RESIDUAL_ONLY,1,86.01599931716919,86.4204790815711,94.2080020904541,,
post_histogram,16384,4,RESIDUAL_ONLY,2,81.91999793052673,84.68479838222265,88.06400001049042,,
post_histogram,16384,4,RESIDUAL_ONLY,3,81.91999793052673,83.80415838211775,89.08800035715103,,
post_histogram,16384,4,RESIDUAL_ONLY,4,80.89599758386612,82.83135812729597,87.0399996638298,,
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,0,92.67200157046318,94.295041449368,98.30400347709656,,
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,1,92.16000139713287,94.41280134022236,99.32799637317657,,
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,2,91.13600105047226,93.00992134958506,96.25600278377533,,
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,3,91.13600105047226,92.45184108614922,96.25600278377533,,
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,4,91.13600105047226,93.40928126126528,97.28000313043594,,
post_histogram,16384,4,LANE0_TABLE_FULL,0,95.23200243711472,95.4112010449171,102.39999741315842,,
post_histogram,16384,4,LANE0_TABLE_FULL,1,91.13600105047226,92.55936093628407,97.28000313043594,,
post_histogram,16384,4,LANE0_TABLE_FULL,2,91.13600105047226,93.644801042974,99.32799637317657,,
post_histogram,16384,4,LANE0_TABLE_FULL,3,91.13600105047226,92.2316811606288,97.28000313043594,,
post_histogram,16384,4,LANE0_TABLE_FULL,4,90.11200070381165,92.12416093796492,97.28000313043594,,
post_histogram,32768,2,FULL,0,448.5119879245758,448.9113546907902,449.535995721817,,
post_histogram,32768,2,FULL,1,448.5119879245758,448.8806350529194,449.535995721817,,
post_histogram,32768,2,FULL,2,448.5119879245758,448.82943511009216,449.535995721817,,
post_histogram,32768,2,FULL,3,448.5119879245758,448.79871413111687,449.535995721817,,
post_histogram,32768,2,FULL,4,448.5119879245758,449.01375338435173,449.535995721817,,
post_histogram,32768,2,RESIDUAL_ONLY,0,196.60800695419312,196.42880283296108,196.60800695419312,,
post_histogram,32768,2,RESIDUAL_ONLY,1,196.60800695419312,196.43904253840446,197.63199985027313,,
post_histogram,32768,2,RESIDUAL_ONLY,2,195.5839991569519,196.44928216934204,197.63199985027313,,
post_histogram,32768,2,RESIDUAL_ONLY,3,195.5839991569519,196.20864234864712,196.60800695419312,,
post_histogram,32768,2,RESIDUAL_ONLY,4,195.5839991569519,196.35712206363678,196.60800695419312,,
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,0,295.9359884262085,295.9462374448776,296.9599962234497,,
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,1,295.9359884262085,295.9718379378319,296.9599962234497,,
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,2,295.9359884262085,295.9769569337368,296.9599962234497,,
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,3,295.9359884262085,296.0332778096199,296.9599962234497,,
