task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,6,2,bucketfirst,relative_mse_gain,11,-0.02648731559838605,0.009250137984975223,,
dureader,decode,k,6,2,bucketfirst,relative_range_gain,11,0.008967945232691642,0.014833988223088825,,
dureader,decode,k,6,3,bucketfirst,relative_mse_gain,11,-0.011382812123645692,0.015193516797987376,,
dureader,decode,k,6,3,bucketfirst,relative_range_gain,11,0.039898442019490214,0.030571018549788335,,
dureader,decode,k,6,4,bucketfirst,relative_mse_gain,11,-0.014551882598408268,0.012436694028611743,,
dureader,decode,k,6,4,bucketfirst,relative_range_gain,11,0.11376111820179734,0.06689003474294204,,
dureader,decode,k,6,5,bucketfirst,relative_mse_gain,11,0.08230983582650332,0.03978066746862387,,
dureader,decode,k,6,5,bucketfirst,relative_range_gain,11,0.14357807803686806,0.077578955330983,,
dureader,decode,k,6,6,bucketfirst,relative_mse_gain,11,-0.0035396337167792296,0.012589736995913283,,
dureader,decode,k,6,6,bucketfirst,relative_range_gain,11,0.10335383935353745,0.05204385697655319,,
dureader,decode,k,6,7,bucketfirst,relative_mse_gain,11,0.03953790994776836,0.02873094910232747,,
dureader,decode,k,6,7,bucketfirst,relative_range_gain,11,0.11201564790934385,0.060590361650904465,,
dureader,decode,k,7,0,bucketfirst,relative_mse_gain,11,-0.011946449534313876,0.01461961647566642,,
dureader,decode,k,7,0,bucketfirst,relative_range_gain,11,0.00862519190075609,0.02674389185139323,,
dureader,decode,k,7,1,bucketfirst,relative_mse_gain,11,0.015325695513457504,0.020002737051867166,,
dureader,decode,k,7,1,bucketfirst,relative_range_gain,11,0.06016835687681434,0.057712762255109636,,
dureader,decode,k,7,2,bucketfirst,relative_mse_gain,11,0.001733319643992366,0.021753103039159206,,
dureader,decode,k,7,2,bucketfirst,relative_range_gain,11,0.06625143838097065,0.06361170609913644,,
dureader,decode,k,7,3,bucketfirst,relative_mse_gain,11,0.005942301136243502,0.020881890126140074,,
