kv_type,metric,layer,kv_head,task_coverage,task_count,positive_task_count,negative_task_count,zero_task_count,mean_rank,std_rank,sign_consistency_rate
k,range_contraction,15,6,6,6,6,0,0,109.5,19.43150363027353,1.0
k,range_contraction,15,7,6,6,6,0,0,51.166666666666664,3.624760528488591,1.0
k,range_contraction,16,0,6,6,6,0,0,96.16666666666667,48.447279478716744,1.0
k,range_contraction,16,1,6,6,6,0,0,233.66666666666666,9.445751543536502,1.0
k,range_contraction,16,2,6,6,6,0,0,69.0,65.73684912842518,1.0
k,range_contraction,16,3,6,6,6,0,0,236.0,4.760952285695233,1.0
k,range_contraction,16,4,6,6,6,0,0,120.33333333333333,46.67142832849903,1.0
k,range_contraction,16,5,6,6,6,0,0,108.0,48.10751846991625,1.0
k,range_contraction,16,6,6,6,6,0,0,42.666666666666664,42.22821594884423,1.0
k,range_contraction,16,7,6,6,6,0,0,150.83333333333334,43.76229985831285,1.0
k,range_contraction,17,0,6,6,6,0,0,109.0,52.24302186257351,1.0
k,range_contraction,17,1,6,6,6,0,0,153.5,43.27335592871592,1.0
k,range_contraction,17,2,6,6,6,0,0,100.33333333333333,13.82831234179436,1.0
k,range_contraction,17,3,6,6,6,0,0,225.0,6.557438524302,1.0
k,range_contraction,17,4,6,6,6,0,0,188.0,15.405626677721791,1.0
k,range_contraction,17,5,6,6,6,0,0,146.83333333333334,13.631051153728224,1.0
k,range_contraction,17,6,6,6,6,0,0,51.666666666666664,11.742609969205692,1.0
k,range_contraction,17,7,6,6,6,0,0,79.5,12.645816172421085,1.0
k,range_contraction,18,0,6,6,6,0,0,153.33333333333334,13.84035966135113,1.0
k,range_contraction,18,1,6,6,6,0,0,93.83333333333333,25.556582104985967,1.0
k,range_contraction,18,2,6,6,6,0,0,114.0,14.165686240583852,1.0
k,range_contraction,18,3,6,6,6,0,0,201.83333333333334,25.47820419277797,1.0
k,range_contraction,18,4,6,6,6,0,0,89.0,57.160592485849314,1.0
k,range_contraction,18,5,6,6,6,0,0,67.83333333333333,50.17109614996357,1.0
k,range_contraction,18,6,6,6,6,0,0,192.5,4.0722639076235385,1.0
k,range_contraction,18,7,6,6,6,0,0,157.0,25.403411844343534,1.0
k,range_contraction,19,0,6,6,6,0,0,106.83333333333333,38.770335166063354,1.0
k,range_contraction,19,1,6,6,6,0,0,201.16666666666666,19.726603582190446,1.0
k,range_contraction,19,2,6,6,6,0,0,173.5,14.091959882618646,1.0
k,range_contraction,19,3,6,6,6,0,0,113.33333333333333,36.95342413844156,1.0
k,range_contraction,19,4,6,6,6,0,0,157.16666666666666,41.8983558415151,1.0
k,range_contraction,19,5,6,6,6,0,0,173.0,19.39931270260195,1.0
k,range_contraction,19,6,6,6,6,0,0,146.66666666666666,27.824849006278942,1.0
k,range_contraction,19,7,6,6,6,0,0,177.83333333333334,65.43550684112988,1.0
k,range_contraction,20,0,6,6,6,0,0,23.333333333333332,26.537185649993525,1.0
k,range_contraction,20,1,6,6,6,0,0,210.5,38.76746918057286,1.0
k,range_contraction,20,2,6,6,6,0,0,201.83333333333334,6.361778227997438,1.0
k,range_contraction,20,3,6,6,6,0,0,59.833333333333336,41.83466133350297,1.0
k,range_contraction,20,4,6,6,6,0,0,189.66666666666666,67.4306227828936,1.0
k,range_contraction,20,5,6,6,6,0,0,170.83333333333334,25.30755267152915,1.0
k,range_contraction,20,6,6,6,6,0,0,70.0,48.91489207456832,1.0
k,range_contraction,20,7,6,6,6,0,0,134.16666666666666,52.65427069309974,1.0
k,range_contraction,21,0,6,6,6,0,0,131.83333333333334,29.790472004018703,1.0
k,range_contraction,21,1,6,6,6,0,0,58.0,15.513435037626795,1.0
k,range_contraction,21,2,6,6,6,0,0,198.0,16.931233465600393,1.0
k,range_contraction,21,3,6,6,6,0,0,117.33333333333333,60.19874491124287,1.0
k,range_contraction,21,4,6,6,6,0,0,142.0,27.09243436828813,1.0
k,range_contraction,21,5,6,6,6,0,0,146.16666666666666,47.57596265155569,1.0
k,range_contraction,21,6,6,6,6,0,0,176.66666666666666,23.725279532365658,1.0
k,range_contraction,21,7,6,6,6,0,0,77.66666666666667,72.63301973314586,1.0
k,range_contraction,22,0,6,6,6,0,0,64.83333333333333,75.69107535825403,1.0
k,range_contraction,22,1,6,6,6,0,0,213.0,20.08316044185609,1.0
k,range_contraction,22,2,6,6,6,0,0,117.33333333333333,17.278760243592583,1.0
k,range_contraction,22,3,6,6,6,0,0,59.166666666666664,33.51326437231815,1.0
k,range_contraction,22,4,6,6,6,0,0,188.66666666666666,29.56161174376135,1.0
k,range_contraction,22,5,6,6,6,0,0,115.0,14.142135623730951,1.0
k,range_contraction,22,6,6,6,6,0,0,189.33333333333334,65.7765577964943,1.0
k,range_contraction,22,7,6,6,6,0,0,84.16666666666667,51.30112626010813,1.0
k,range_contraction,23,0,6,6,6,0,0,213.0,89.47066558375433,1.0
k,range_contraction,23,1,6,6,6,0,0,86.66666666666667,57.47656527277492,1.0
k,range_contraction,23,2,6,6,6,0,0,212.5,68.90754675650557,1.0
k,range_contraction,23,3,6,6,6,0,0,51.166666666666664,46.85942333784695,1.0
k,range_contraction,23,4,6,6,6,0,0,241.5,2.6299556396765835,1.0
